DisplayName,NewApp
Adobe Reader XI (11.0.16),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.16)  MUI,Adobe Acrobat Reader DC
Adobe Reader XI (11.0.17),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.17)  MUI,Adobe Acrobat Reader DC
Adobe Reader XI (11.0.18),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.18)  MUI,Adobe Acrobat Reader DC
Adobe Reader XI (11.0.19),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.20),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.20)  MUI,Adobe Acrobat Reader DC
Adobe Reader XI (11.0.21),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.22),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.22)  MUI,Adobe Acrobat Reader DC
Adobe Reader XI (11.0.23),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.23)  MUI,Adobe Acrobat Reader DC
Adobe Shockwave Player 11,Adobe Shockwave Player 12.3
Adobe Shockwave Player 11.5,Adobe Shockwave Player 12.3
Adobe Shockwave Player 11.6,Adobe Shockwave Player 12.3
Adobe Shockwave Player 12.0,Adobe Shockwave Player 12.3
Adobe Shockwave Player 12.1,Adobe Shockwave Player 12.3
Adobe Shockwave Player 12.2,Adobe Shockwave Player 12.3
Adobe Shockwave Player 12.3,Adobe Shockwave Player 12.3
AeroSIMRC,AeroSIMRC
Agilent MSD Chemstation Classic Data Analysis (G1701FA),Chemstation
Agisoft PhotoScan Professional,Agisoft PhotoScan Professional
Agisoft PhotoScan Standard,Agisoft PhotoScan Professional
AI CS6 v16.0.3 x64,Adobe Illustrator
AirServer Universal (x64),AirServer Universal (x64)
AirServer Universal (x64) 4.0.20,AirServer Universal (x64)
AkWarm,AkWarm
Alertus Desktop,Alertus Desktop
Alertus Desktop Alert,Alertus Desktop
Android Studio,Android Studio
ANSEP RICOH [RICOH MP 2555 PCL 6],ANSEP Ricoh Printer
ANSEP Ricoh Printer [RICOH MP 2555 PS],ANSEP Ricoh Printer
ansys,Ansys 19.2
ArcGIS,ArcGIS Desktop 10.6.1
ArcGIS 10.1 for Desktop,ArcGIS Desktop 10.6.1
ArcGIS 10.2 for Desktop,ArcGIS Desktop 10.6.1
ArcGIS 10.2.1 for Desktop,ArcGIS Desktop 10.6.1
ArcGIS 10.3 for Desktop,ArcGIS Desktop 10.6.1
ArcGIS 10.3.1 for Desktop,ArcGIS Desktop 10.6.1
ArcGIS 10.4 for Desktop,ArcGIS Desktop 10.6.1
ArcGIS 10.4.1 for Desktop,ArcGIS Desktop 10.6.1
ArcGIS Desktop 10,ArcGIS Desktop 10.6.1
ArcGIS Desktop 10.5,ArcGIS Desktop 10.6.1
ArcGIS Desktop 10.5.1,ArcGIS Desktop 10.6.1
ArcGIS Desktop 10.6,ArcGIS Desktop 10.6.1
ArcGIS Desktop 10.6.1,ArcGIS Desktop 10.6.1
ArcGIS Pro,ArcGIS Pro 2.1.2
Arduino,Arduino
ASCOM Platform,ASCOM Platform
ASCOM Platform 5.0b,ASCOM Platform
ASCOM Platform 6.2,ASCOM Platform
Audacity 1.2.6,Audacity
Audacity 2.0,Audacity
Audacity 2.0.5,Audacity
Audacity 2.0.6,Audacity
Audacity 2.1.0,Audacity
Audacity 2.1.1,Audacity
Audacity 2.1.2,Audacity
Audacity 2.1.3,Audacity
Audacity 2.2.1,Audacity
Audacity 2.2.2,Audacity
Audacity 2.3.0,Audacity
AutoCAD 2013 - English,AutoCAD 2019
AutoCAD 2013 - English SP1.1,AutoCAD 2019
AutoCAD 2013 - English SP2,AutoCAD 2019
AutoCAD 2014 - English,AutoCAD 2019
AutoCAD 2015 - English,AutoCAD 2019
AutoCAD 2016,AutoCAD 2019
AutoCAD 2016 - English,AutoCAD 2019
AutoCAD 2017,AutoCAD 2019
AutoCAD 2017 - English,AutoCAD 2019
AutoCAD 2018,AutoCAD 2019
AutoCAD 2018 - English,AutoCAD 2019
AutoCAD 2019,AutoCAD 2019
AutoCAD 2019 - English,AutoCAD 2019
AutoCAD Architecture 2013 - English,AutoCAD Architecture 2019
AutoCAD Architecture 2015 - English,AutoCAD Architecture 2019
AutoCAD Architecture 2017,AutoCAD Architecture 2019
AutoCAD Architecture 2017 - English,AutoCAD Architecture 2019
AutoCAD Architecture 2017 Core,AutoCAD Architecture 2019
AutoCAD Civil 3D 2013,Autodesk Civil 3D 2019
AutoCAD Civil 3D 2013 - English,Autodesk Civil 3D 2019
AutoCAD Electrical 2013,AutoCAD Electrical 2019
AutoCAD Electrical 2015 - English,AutoCAD Electrical 2019
AutoCAD Electrical 2017,AutoCAD Electrical 2019
AutoCAD Electrical 2017 - English,AutoCAD Electrical 2019
AutoCAD Mechanical 2013 - English,AutoCAD Mechanical 2019
AutoCAD Mechanical 2015 - English,AutoCAD Mechanical 2019
AutoCAD Mechanical 2017,AutoCAD Mechanical 2019
AutoCAD Mechanical 2017 - English,AutoCAD Mechanical 2019
Autodesk 3ds Max 2017,Autodesk 3ds Max 2019
Autodesk 3ds Max 2017 SP1,Autodesk 3ds Max 2019
Autodesk 3ds Max 2017 SP2,Autodesk 3ds Max 2019
Autodesk 3ds Max 2017 SP3,Autodesk 3ds Max 2019
Autodesk 3ds Max 2019,Autodesk 3ds Max 2019
Autodesk 3ds Max Design 2015,Autodesk 3ds Max 2019
Autodesk AutoCAD 2014 - English,AutoCAD 2019
Autodesk AutoCAD 2014 - English SP1,AutoCAD 2019
Autodesk AutoCAD 2015 - English,AutoCAD 2019
Autodesk AutoCAD 2015 - English SP2,AutoCAD 2019
Autodesk AutoCAD 2016 - English,AutoCAD 2019
Autodesk AutoCAD 2016 SP 1,AutoCAD 2019
Autodesk AutoCAD 2016.0.10,AutoCAD 2019
Autodesk AutoCAD 2017 - English,AutoCAD 2019
Autodesk AutoCAD 2017 SP 1,AutoCAD 2019
Autodesk AutoCAD 2017.1.2 Update,AutoCAD 2019
Autodesk AutoCAD 2018 - English,AutoCAD 2019
Autodesk AutoCAD 2019 - English,AutoCAD 2019
Autodesk AutoCAD Architecture 2015 - English,AutoCAD Architecture 2019
Autodesk AutoCAD Architecture 2017 - English,AutoCAD Architecture 2019
Autodesk AutoCAD Architecture 2017 SP1,AutoCAD Architecture 2019
Autodesk AutoCAD Civil 3D 2015,Autodesk Civil 3D 2019
Autodesk AutoCAD Civil 3D 2015 - English,Autodesk Civil 3D 2019
Autodesk AutoCAD Civil 3D 2017,Autodesk Civil 3D 2019
Autodesk AutoCAD Civil 3D 2017 - English,Autodesk Civil 3D 2019
Autodesk AutoCAD Electrical 2015 - English,AutoCAD Electrical 2019
Autodesk AutoCAD Electrical 2017 - English,AutoCAD Electrical 2019
Autodesk AutoCAD Electrical 2017 SP 1,AutoCAD Electrical 2019
Autodesk AutoCAD Map 3D 2015,AutoCAD Map 3D 2019
Autodesk AutoCAD Map 3D 2017,AutoCAD Map 3D 2019
Autodesk AutoCAD Map 3D 2017 SP1,AutoCAD Map 3D 2019
Autodesk AutoCAD Map 3D 2019 Core,AutoCAD Map 3D 2019
Autodesk AutoCAD Mechanical 2015 - English,AutoCAD Mechanical 2019
Autodesk AutoCAD Mechanical 2017 - English,AutoCAD Mechanical 2019
Autodesk AutoCAD Mechanical 2017 SP 1,AutoCAD Mechanical 2019
Autodesk AutoCAD Mechanical 2017.0.1 Update,AutoCAD Mechanical 2019
Autodesk Civil 3D 2019,Autodesk Civil 3D 2019
Autodesk Civil 3D 2019 - English,Autodesk Civil 3D 2019
Autodesk Design Review,Autodesk Design Review
Autodesk Design Review 2013,Autodesk Design Review
Autodesk Inventor 2017,Autodesk Inventor 2019
Autodesk Inventor 2017 - English,Autodesk Inventor 2019
Autodesk Inventor 2017 SP1,Autodesk Inventor 2019
Autodesk Inventor Professional 2015,Autodesk Inventor 2019
Autodesk Inventor Professional 2015 - English,Autodesk Inventor 2019
Autodesk Inventor Professional 2017,Autodesk Inventor 2019
Autodesk Inventor Professional 2017 - English,Autodesk Inventor 2019
Autodesk Inventor Professional 2018,Autodesk Inventor 2019
Autodesk Inventor Professional 2018 - English,Autodesk Inventor 2019
Autodesk Revit 2013,Revit 2019
Autodesk Revit 2015,Revit 2019
Autodesk Revit 2017,Revit 2019
Autodesk Revit 2017.2.3,Revit 2019
Autodesk Revit 2018,Revit 2019
Autodesk Revit 2019,Revit 2019
Autodesk Robot Structural Analysis Professional 2017,Autodesk Robot Structural Analysis Professional 2019
Autodesk SketchBook,Autodesk SketchBook 2019
Autodesk SketchBook Designer 2013,Autodesk SketchBook 2019
Autodesk SketchBook Designer 2013 SP2,Autodesk SketchBook 2019
Autodesk SketchBook Designer 2014,Autodesk SketchBook 2019
Autodesk SketchBook Designer for AutoCAD 2013,Autodesk SketchBook 2019
Autodesk SketchBook for Enterprise 2019,Autodesk SketchBook 2019
Blackboard Collaborate Launcher,Blackboard Collaborate Launcher
Bluebeam Revu x64 11,Bluebeam Revu x64 2018.1
Bluebeam Revu x64 2015,Bluebeam Revu x64 2018.1
Bluebeam Revu x64 2016.5.1,Bluebeam Revu x64 2018.1
Bluebeam Revu x64 2017,Bluebeam Revu x64 2018.1
Bluebeam Revu x64 2018.1,Bluebeam Revu x64 2018.1
Bomgar Representative Console 15.1.1 [assist.uaa.alaska.edu],Bomgar
Bomgar Representative Console 16.1.4 [assist.uaa.alaska.edu],Bomgar
Bomgar Representative Console 18.1.4 [assist.uaa.alaska.edu],Bomgar
CamStudio 2.7,CamStudio
CamStudio 2.7.4,CamStudio
Camtasia,Camtasia
Camtasia Studio 7,Camtasia
Carlson 2017 with AutoCAD 2015 (64-bit),Carlson Survey
Carlson 2017 with AutoCAD 2017 (64-bit),Carlson Survey
Carlson 2018 with IntelliCAD 8.3 (64-bit),Carlson Survey
